iter	MultiClass
0	1.564479309
1	1.523054482
2	1.484666293
3	1.448950242
4	1.415274585
5	1.38372312
6	1.353945158
7	1.325653879
8	1.299108729
9	1.273849164
10	1.249667243
11	1.226830457
12	1.204302941
13	1.183094026
14	1.16208849
15	1.141503879
16	1.122172077
17	1.103242231
18	1.085818877
19	1.068699992
20	1.051909466
21	1.03600461
22	1.020296411
23	1.004726159
24	0.9907483005
25	0.9765500153
26	0.9625346991
27	0.9493952689
28	0.9363773378
29	0.9238627514
30	0.9115181077
31	0.8996337679
32	0.8882035489
33	0.8770734159
34	0.8664405047
35	0.8561741317
36	0.8456828894
37	0.8356059686
38	0.8261398449
39	0.816665257
40	0.8075361972
41	0.7988970956
42	0.7898673841
43	0.7812548155
44	0.7730217514
45	0.7649065847
46	0.7570242712
47	0.749066441
48	0.7414234039
49	0.7341533882
50	0.7266873771
51	0.7198926726
52	0.7131466517
53	0.7065490231
54	0.6999737252
55	0.6936023466
56	0.6871621144
57	0.6808577283
58	0.674902232
59	0.6691540164
60	0.6636558224
61	0.6581200501
62	0.6524145753
63	0.6472108245
64	0.6420820502
65	0.6369799288
66	0.6319021793
67	0.6268814575
68	0.6220330195
69	0.6171938861
70	0.6124569823
71	0.6077655207
72	0.6034223484
73	0.5987972791
74	0.5943815915
75	0.5899746083
76	0.5855979997
77	0.5813362271
78	0.5772698494
79	0.5732604995
80	0.5694293763
81	0.5653878507
82	0.5613393018
83	0.5574833865
84	0.5538991033
85	0.5502497485
86	0.5467114476
87	0.542982314
88	0.5393306181
89	0.5358578091
90	0.5326513497
91	0.5293756766
92	0.5261725788
93	0.5229403668
94	0.5196472853
95	0.5164876486
96	0.5134251992
97	0.5103897029
98	0.507426962
99	0.5045962854
100	0.5018342221
101	0.4990844347
102	0.4962039338
103	0.4936082414
104	0.4910381815
105	0.4888958896
106	0.4866243249
107	0.483887774
108	0.4816223022
109	0.4792681373
110	0.4769013362
111	0.4752237903
112	0.472813228
113	0.4707031118
114	0.4687385063
115	0.4662838825
116	0.4644374445
117	0.4621503922
118	0.4599554848
119	0.4575841815
120	0.4558244857
121	0.4536550606
122	0.4519881099
123	0.4495792584
124	0.4476700599
125	0.4455984223
126	0.4440241567
127	0.4419507483
128	0.4402301615
129	0.4389258472
130	0.4368654652
131	0.4351455387
132	0.433614374
133	0.4317506776
134	0.4298424996
135	0.4281623425
136	0.4261529852
137	0.424351329
138	0.4228938802
139	0.4214085778
140	0.4198664579
141	0.4183683693
142	0.4165071041
143	0.4150817409
144	0.4137365466
145	0.4120359195
146	0.4103048276
147	0.4085396392
148	0.4069286057
149	0.4056682627
150	0.4039801217
151	0.4024147704
152	0.4008109104
153	0.3994524197
154	0.3979607842
155	0.3966801214
156	0.3951401024
157	0.3937208022
158	0.3922855041
159	0.3907378014
160	0.3891257774
161	0.3876904494
162	0.3862928497
163	0.3852170064
164	0.3839425266
165	0.3826730892
166	0.3813983993
167	0.3800150565
168	0.3787204069
169	0.3775701875
170	0.376316928
171	0.3751068295
172	0.3740479445
173	0.3728906416
174	0.371433613
175	0.3699411372
176	0.3688251344
177	0.3676635395
178	0.3662901916
179	0.3652543278
180	0.3640247798
181	0.3622433234
182	0.36089978
183	0.3595822292
184	0.3583292999
185	0.3571612218
186	0.3559612082
187	0.3544159066
188	0.3534054052
189	0.3519481665
190	0.3508030496
191	0.349305081
192	0.3482025248
193	0.347224109
194	0.3463903035
195	0.3450719723
196	0.3437397444
197	0.3428716322
198	0.3417956989
199	0.3409024945
200	0.3396366589
201	0.3385918508
202	0.3376185974
203	0.3361953352
204	0.3351765498
205	0.3340569753
206	0.332701396
207	0.3312383345
208	0.3298704792
209	0.328811084
210	0.3278783504
211	0.3268543123
212	0.3258863716
213	0.3247432356
214	0.323502042
215	0.322295185
216	0.321186836
217	0.3202527217
218	0.3192790782
219	0.3183461044
220	0.3172940028
221	0.3164109733
222	0.3154044938
223	0.3144203452
224	0.3136840271
225	0.3127253609
226	0.3118894843
227	0.3110563091
228	0.3102570804
229	0.3093374632
230	0.3082036318
231	0.3073079662
232	0.3064922294
233	0.3052798498
234	0.3042472576
235	0.3033828072
236	0.3021899371
237	0.3013698482
238	0.3005812447
239	0.2998783028
240	0.2988717033
241	0.2981424386
242	0.2969022955
243	0.296173421
244	0.2954670274
245	0.2944405882
246	0.2936515045
247	0.2925221752
248	0.2917143023
249	0.2909750428
250	0.2897713674
251	0.2885888523
252	0.2877157277
253	0.2870566671
254	0.2862612503
255	0.2853228739
256	0.2845410237
257	0.2835514424
258	0.2827221391
259	0.2817632327
260	0.2807765329
261	0.2800464278
262	0.2791300221
263	0.2785524212
264	0.2776705623
265	0.2768891623
266	0.2761930037
267	0.2752293851
268	0.2742243163
269	0.2733147539
270	0.2725039696
271	0.271770743
272	0.2710726635
273	0.2703656396
274	0.2696856889
275	0.2689707112
276	0.2682733521
277	0.2674314426
278	0.266570744
279	0.2654104097
280	0.2646043677
281	0.2637398873
282	0.2630568151
283	0.2622164964
284	0.2617769026
285	0.2606752468
286	0.2598668336
287	0.2591350778
288	0.2585436401
289	0.2578962853
290	0.2571159358
291	0.2564179463
292	0.2557682803
293	0.2552296684
294	0.2542886207
295	0.2537312497
296	0.2528609764
297	0.2521802754
298	0.251293404
299	0.250588046
300	0.2499505359
301	0.2493664519
302	0.2487386816
303	0.2479235601
304	0.2472724835
305	0.2464948503
306	0.2457009492
307	0.2450031398
308	0.2443520032
309	0.2437918857
310	0.242951462
311	0.2422869688
312	0.2418210823
313	0.2411244134
314	0.2402490677
315	0.2396415123
316	0.239155681
317	0.2385014078
318	0.2377818828
319	0.2369980967
320	0.2361430858
321	0.2353386796
322	0.2347693177
323	0.2340200483
324	0.2335515505
325	0.2328137466
326	0.232144106
327	0.2314647256
328	0.2306767974
329	0.2300499875
330	0.2293861397
331	0.2288043967
332	0.2283847476
333	0.2276927011
334	0.2270289583
335	0.2264665297
336	0.2259497834
337	0.2253859142
338	0.2248657762
339	0.2243268191
340	0.2240180139
341	0.2232653829
342	0.2225298452
343	0.2218670328
344	0.2210929413
345	0.2206865287
346	0.220125931
347	0.2194093776
348	0.2189037967
349	0.2184173201
350	0.2177948624
351	0.2173125128
352	0.2169315375
353	0.216204809
354	0.2154733983
355	0.2146075072
356	0.2141693691
357	0.2134976424
358	0.2128618432
359	0.212429618
360	0.211995742
361	0.2115897946
362	0.2110049001
363	0.2103881602
364	0.2098454813
365	0.2093510658
366	0.2087493632
367	0.2082133925
368	0.2077680209
369	0.2072596036
370	0.2066317883
371	0.2062473313
372	0.2058043909
373	0.205270011
374	0.2046952165
375	0.2040974458
376	0.2037824576
377	0.2033303327
378	0.2027681593
379	0.2020225366
380	0.201564649
381	0.20111437
382	0.2006669274
383	0.2000480264
384	0.1995058577
385	0.1990021977
386	0.1984040218
387	0.1979706861
388	0.1973325757
389	0.1968997802
390	0.1963847297
391	0.1958583337
392	0.1955515996
393	0.1949822377
394	0.1943447426
395	0.1937222699
396	0.1932921307
397	0.1928005516
398	0.1924460942
399	0.1918547166
400	0.1912223391
401	0.1906781744
402	0.1901973106
403	0.1898234788
404	0.1893177928
405	0.1887929876
406	0.1881777484
407	0.1877943119
408	0.1872796366
409	0.1868560406
410	0.1862673343
411	0.1859409255
412	0.185633486
413	0.1852177538
414	0.1848420161
415	0.1845139565
416	0.184046059
417	0.1837734664
418	0.1832909517
419	0.182719954
420	0.1823018357
421	0.1818859984
422	0.1813823535
423	0.1808854768
424	0.1804075544
425	0.1801021559
426	0.1797333815
427	0.1792325129
428	0.1788465102
429	0.1783941302
430	0.1778665486
431	0.1774988098
432	0.1772720645
433	0.1767970685
434	0.1762407629
435	0.1758036003
436	0.1754230002
437	0.1747628141
438	0.1743134206
439	0.1740457504
440	0.1737827475
441	0.1732522395
442	0.172745413
443	0.1723904304
444	0.1720274488
445	0.1715172757
446	0.1711594267
447	0.1708518521
448	0.1703510285
449	0.1699582575
450	0.1694779039
451	0.1690526571
452	0.1687720806
453	0.1681976763
454	0.1678452899
455	0.1674905023
456	0.1670345656
457	0.1666439406
458	0.1662441462
459	0.166032063
460	0.1656894914
461	0.1653803111
462	0.1650753177
463	0.1646116973
464	0.1641679464
465	0.1636691489
466	0.1633297288
467	0.1630313987
468	0.1627217231
469	0.1622413395
470	0.1618104499
