iter	Passed	Remaining
0	14	29196
1	28	28190
2	41	27759
3	55	27519
4	67	26950
5	79	26366
6	92	26201
7	106	26405
8	118	26289
9	131	26123
10	144	26114
11	156	25947
12	169	25950
13	181	25787
14	194	25702
15	210	26047
16	223	26121
17	238	26264
18	252	26354
19	265	26292
20	281	26517
21	294	26515
22	306	26375
23	319	26308
24	332	26262
25	346	26278
26	359	26289
27	371	26184
28	384	26119
29	399	26239
30	414	26356
31	428	26377
32	444	26483
33	456	26387
34	468	26296
35	479	26163
36	494	26249
37	508	26278
38	520	26195
39	533	26155
40	547	26157
41	562	26204
42	576	26238
43	593	26362
44	606	26357
45	622	26452
46	636	26438
47	651	26492
48	664	26476
49	678	26444
50	694	26524
51	706	26457
52	720	26455
53	735	26522
54	749	26494
55	764	26526
56	779	26579
57	794	26618
58	808	26613
59	822	26587
60	836	26576
61	849	26546
62	864	26576
63	877	26534
64	893	26586
65	906	26577
66	921	26592
67	935	26592
68	951	26621
69	966	26646
70	985	26777
71	1002	26846
72	1016	26825
73	1033	26888
74	1047	26877
75	1061	26881
76	1076	26882
77	1089	26840
78	1103	26839
79	1117	26829
80	1132	26839
81	1149	26897
82	1166	26930
83	1183	27004
84	1199	27016
85	1216	27077
86	1233	27127
87	1248	27132
88	1264	27155
89	1280	27171
90	1296	27203
91	1315	27291
92	1334	27367
93	1352	27428
94	1370	27485
95	1387	27523
96	1404	27550
97	1421	27584
98	1439	27636
99	1457	27683
100	1473	27696
101	1491	27759
102	1509	27800
103	1525	27807
104	1541	27816
105	1558	27843
106	1575	27874
107	1594	27932
108	1610	27947
109	1630	28007
110	1645	28007
111	1660	27991
112	1679	28042
113	1697	28082
114	1715	28113
115	1735	28179
116	1750	28174
117	1767	28186
118	1785	28216
119	1804	28274
120	1821	28288
121	1840	28334
122	1857	28347
123	1875	28372
124	1892	28391
125	1906	28352
126	1920	28330
127	1937	28335
128	1950	28287
129	1963	28237
130	1979	28241
131	1996	28258
132	2011	28236
133	2027	28234
134	2044	28237
135	2060	28236
136	2077	28244
137	2093	28251
138	2106	28205
139	2122	28197
140	2137	28176
141	2152	28160
142	2168	28158
143	2180	28108
144	2194	28080
145	2210	28067
146	2226	28065
147	2243	28069
148	2257	28046
149	2271	28015
150	2289	28037
151	2306	28038
152	2320	28018
153	2334	27988
154	2350	27975
155	2365	27965
156	2382	27965
157	2397	27947
158	2413	27939
159	2429	27936
160	2445	27938
161	2459	27904
162	2476	27907
163	2490	27882
164	2506	27874
165	2522	27871
166	2540	27879
167	2557	27890
168	2574	27898
169	2590	27888
170	2607	27892
171	2622	27874
172	2638	27865
173	2655	27862
174	2671	27858
175	2688	27862
176	2705	27868
177	2720	27849
178	2736	27843
179	2752	27825
180	2768	27822
181	2785	27826
182	2801	27820
183	2817	27802
184	2833	27800
185	2849	27788
186	2865	27779
187	2882	27785
188	2898	27771
189	2914	27767
190	2929	27749
191	2946	27743
192	2962	27734
193	2974	27689
194	2988	27660
195	3003	27647
196	3021	27657
197	3035	27625
198	3050	27610
199	3067	27610
200	3083	27600
201	3099	27585
202	3116	27587
203	3133	27582
204	3150	27584
205	3165	27570
206	3182	27564
207	3198	27556
208	3216	27561
209	3234	27570
210	3250	27556
211	3264	27534
212	3279	27509
213	3296	27508
214	3312	27500
215	3329	27501
216	3346	27495
217	3360	27470
218	3376	27455
219	3393	27452
220	3410	27451
221	3425	27433
222	3442	27435
223	3457	27411
224	3474	27406
225	3493	27424
226	3510	27421
227	3529	27429
228	3543	27401
229	3561	27406
230	3579	27412
231	3594	27393
232	3613	27400
233	3630	27397
234	3648	27406
235	3666	27408
236	3683	27402
237	3696	27368
238	3710	27339
239	3723	27307
240	3740	27302
241	3757	27293
242	3774	27288
243	3792	27290
244	3808	27282
245	3824	27268
246	3838	27245
247	3858	27256
248	3873	27242
249	3890	27232
250	3909	27239
251	3927	27243
252	3945	27240
253	3960	27222
254	3978	27223
255	3994	27209
256	4008	27186
257	4025	27181
258	4039	27152
259	4055	27140
260	4074	27150
261	4090	27134
262	4104	27110
263	4118	27083
264	4133	27064
265	4151	27062
266	4169	27063
267	4185	27047
268	4201	27036
269	4218	27029
270	4233	27012
271	4250	27004
272	4265	26983
273	4279	26957
274	4294	26940
275	4309	26918
276	4326	26910
277	4340	26884
278	4355	26867
279	4371	26855
280	4388	26845
281	4404	26833
282	4423	26835
283	4439	26824
284	4451	26787
285	4467	26775
286	4483	26761
287	4496	26731
288	4510	26702
289	4524	26679
290	4537	26650
291	4553	26632
292	4571	26631
293	4585	26607
294	4600	26589
295	4614	26565
296	4631	26554
297	4646	26537
298	4663	26528
299	4679	26517
300	4695	26505
301	4710	26484
302	4726	26468
303	4741	26453
304	4755	26430
305	4771	26417
306	4788	26405
307	4802	26384
308	4818	26367
309	4832	26342
310	4847	26327
311	4862	26309
312	4876	26285
313	4890	26261
314	4906	26247
315	4921	26226
316	4934	26200
317	4949	26181
318	4965	26167
319	4981	26153
320	4998	26143
321	5014	26131
322	5030	26120
323	5047	26108
324	5062	26092
325	5079	26084
326	5095	26070
327	5111	26056
328	5127	26044
329	5142	26025
330	5159	26014
331	5173	25993
332	5188	25975
333	5205	25966
334	5221	25950
335	5237	25938
336	5254	25931
337	5270	25918
338	5285	25898
339	5302	25886
340	5315	25862
341	5332	25850
342	5348	25837
343	5363	25821
344	5381	25814
345	5396	25798
346	5413	25786
347	5430	25777
348	5444	25757
349	5461	25747
350	5477	25734
351	5491	25711
352	5508	25700
353	5525	25691
354	5541	25680
355	5558	25670
356	5575	25661
357	5593	25653
358	5609	25641
359	5624	25623
360	5640	25607
361	5653	25582
362	5671	25578
363	5687	25562
364	5702	25544
365	5718	25528
366	5734	25516
367	5749	25499
368	5765	25483
369	5782	25472
370	5799	25465
371	5816	25453
372	5832	25441
373	5847	25423
374	5865	25417
375	5882	25406
376	5898	25391
377	5915	25381
378	5931	25370
379	5948	25359
380	5963	25342
381	5980	25331
382	5995	25314
383	6012	25303
384	6030	25296
385	6046	25282
386	6065	25280
387	6082	25271
388	6103	25276
389	6123	25277
390	6141	25273
391	6159	25266
392	6176	25257
393	6195	25254
394	6214	25249
395	6233	25249
396	6250	25238
397	6267	25229
398	6282	25210
399	6300	25203
400	6317	25190
401	6335	25183
402	6350	25166
403	6366	25149
404	6382	25134
405	6399	25126
406	6415	25111
407	6429	25089
408	6445	25071
409	6460	25052
410	6474	25033
411	6488	25010
412	6502	24985
413	6516	24965
414	6532	24947
415	6546	24926
416	6560	24906
417	6574	24883
418	6589	24863
419	6605	24848
420	6620	24830
421	6634	24807
422	6650	24792
423	6666	24777
424	6682	24764
425	6696	24741
426	6709	24715
427	6723	24694
428	6738	24677
429	6754	24661
430	6770	24646
431	6785	24630
432	6798	24605
433	6816	24596
434	6833	24583
435	6847	24562
436	6863	24548
437	6879	24533
438	6895	24517
439	6909	24496
440	6922	24471
441	6939	24460
442	6955	24447
443	6971	24431
444	6987	24416
445	7003	24401
446	7019	24386
447	7034	24369
448	7049	24351
449	7066	24340
450	7082	24326
451	7098	24310
452	7113	24293
453	7130	24282
454	7147	24270
455	7162	24252
456	7179	24240
457	7196	24229
458	7214	24220
459	7228	24200
460	7244	24186
461	7261	24172
462	7277	24159
463	7293	24145
464	7314	24144
465	7332	24135
466	7348	24122
467	7365	24111
468	7381	24094
469	7398	24085
470	7416	24074
471	7432	24060
472	7450	24053
473	7468	24042
474	7482	24023
475	7499	24010
476	7515	23994
477	7532	23984
478	7548	23969
479	7564	23952
480	7579	23936
481	7595	23921
482	7610	23902
483	7624	23880
484	7637	23857
485	7655	23847
486	7670	23829
487	7685	23811
488	7701	23797
489	7715	23777
490	7733	23767
491	7747	23745
492	7763	23730
493	7780	23719
494	7794	23697
495	7812	23690
496	7827	23671
497	7842	23653
498	7857	23634
499	7874	23623
500	7887	23599
501	7903	23584
502	7920	23571
503	7936	23556
504	7954	23547
505	7972	23540
506	7990	23531
507	8009	23523
508	8023	23502
509	8040	23490
510	8057	23477
511	8076	23473
512	8095	23466
513	8111	23450
514	8132	23448
515	8150	23440
516	8170	23437
517	8189	23429
518	8208	23424
519	8225	23410
520	8243	23400
521	8261	23390
522	8278	23378
523	8297	23371
524	8314	23359
525	8334	23355
526	8350	23341
527	8368	23329
528	8385	23317
529	8402	23303
530	8421	23297
531	8437	23281
532	8457	23277
533	8475	23268
534	8493	23257
535	8510	23246
536	8525	23226
537	8544	23218
538	8558	23198
539	8576	23188
540	8593	23176
541	8610	23162
542	8625	23145
543	8640	23126
544	8656	23110
545	8675	23102
546	8693	23092
547	8708	23074
548	8722	23053
